game_date,pitcher,pitcher_id,team,opponent,starts_seen,expected_bf,expected_k,k_rate,batters_faced,strikeouts,innings_pitched,prob_k_over_5.5,prob_k_over_6.5,k_error,bf_error,career_starts,days_since_last_start,outs_recorded,expected_outs,implied_baserunners,prob_outs_over_14.5,prob_outs_over_15.5,prob_outs_over_16.5,prob_outs_over_17.5,prob_outs_over_18.5,outs_error,k_dist,outs_dist,k_rate_base,velo_z_used,velo_base,velo_recent,velo_drop,velo_state,kform_base,kform_recent,kform_z,kform_state
2026-09-01,Tyler Phillips,663969,MIA,KC,15,20.502753313841904,3.405526179814339,0.2043885341798259,17,4,5.0,0.1379903332804022,0.0638064442233123,-0.594473820185661,3.502753313841904,,,15.0,,,,,,,,,"0.038909,0.118771,0.189381,0.209588,0.179599,0.125760,0.074184,0.037591,0.016594,0.006451,0.002228,0.000688,0.000191,0.000048,0.000011,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Michael McGreevy,700241,STL,LAD,31,22.6303708762657,3.2695828615919,0.1817040254430754,22,4,5.0,0.1153787701515135,0.0498725391688017,-0.7304171384081002,0.630370876265701,,,15.0,,,,,,,,,"0.040070,0.125549,0.201316,0.218737,0.179983,0.118966,0.065506,0.030794,0.012576,0.004518,0.001440,0.000410,0.000105,0.000024,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Casey Mize,663554,SD,CIN,26,21.772797024478457,4.881355240290024,0.2314122938231256,18,4,4.0,0.3683794663584944,0.2265579668807185,0.8813552402900244,3.772797024478457,,,12.0,,,,,,,,,"0.009347,0.040677,0.092155,0.144215,0.174024,0.171201,0.141821,0.101009,0.062762,0.034391,0.016758,0.007307,0.002865,0.001014,0.000325,0.000094,0.000025,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Grant Holmes,656550,ATL,WSH,25,21.697807025302648,4.576960614119683,0.2004286373614716,9,1,3.0,0.3154472164429491,0.1833559481161469,3.576960614119683,12.697807025302648,,,9.0,,,,,,,,,"0.012048,0.050165,0.108283,0.160782,0.183376,0.169899,0.132091,0.087976,0.050909,0.025854,0.011608,0.004633,0.001650,0.000526,0.000150,0.000039,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Brad Lord,695418,WSH,ATL,0,22.430823117338004,4.515568712443498,0.2405527795128045,14,6,3.333333333333333,0.3029825457998459,0.1729553158100413,-1.484431287556502,8.430823117338004,,,10.0,,,,,,,,,"0.012052,0.051003,0.111151,0.165198,0.186966,0.170647,0.130027,0.084637,0.047840,0.023770,0.010478,0.004126,0.001459,0.000465,0.000134,0.000035,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Brandon Williamson,682227,CIN,SD,6,21.815408285185853,4.102207631296168,0.2093603039105849,24,5,5.333333333333333,0.2353201175449528,0.124620172111776,-0.8977923687038318,-2.1845917148141467,,,16.0,,,,,,,,,"0.018608,0.070636,0.138588,0.186262,0.191424,0.159162,0.110700,0.065827,0.033985,0.015410,0.006191,0.002219,0.000713,0.000206,0.000054,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Cody Bradford,674003,TEX,ATH,5,22.58978330929616,5.324747015867433,0.2006555220840935,20,3,4.0,0.4455284311850189,0.2896197050909058,2.324747015867433,2.589783309296159,,,12.0,,,,,,,,,"0.005417,0.026901,0.068769,0.120142,0.160310,0.172933,0.155909,0.120017,0.080082,0.046850,0.024253,0.011197,0.004641,0.001738,0.000590,0.000182,0.000051,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Trevor Rogers,669432,BAL,COL,29,22.76323139763124,5.174324634790164,0.222630054866897,24,11,6.666666666666667,0.4185226169870747,0.2674648948870219,-5.825675365209836,-1.236768602368759,,,20.0,,,,,,,,,"0.006570,0.031154,0.076486,0.128716,0.165725,0.172826,0.151058,0.113184,0.073863,0.042473,0.021709,0.009927,0.004080,0.001513,0.000507,0.000154,0.000042,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Jacob Lopez,682052,ATH,TEX,18,22.075810488994392,5.122825638238014,0.2276139474281889,25,7,6.0,0.4104944893059276,0.2621147091673765,-1.8771743617619856,-2.924189511005608,,,18.0,,,,,,,,,"0.007521,0.033993,0.080254,0.131213,0.165712,0.170812,0.148380,0.110891,0.072337,0.041629,0.021303,0.009753,0.004012,0.001487,0.000498,0.000151,0.000041,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Patrick Sandoval,663776,BOS,SEA,9,22.78254730658195,5.081476664413466,0.2364083370647922,20,2,4.0,0.4020956960104492,0.2530143228134356,3.081476664413466,2.78254730658195,,,12.0,,,,,,,,,"0.007065,0.033211,0.080598,0.133758,0.169519,0.173754,0.149081,0.109537,0.070037,0.039434,0.019729,0.008832,0.003556,0.001293,0.000425,0.000127,0.000034,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Bryce Miller,682243,SEA,BOS,21,22.378245062263527,4.832040329094935,0.2389425139425139,21,3,4.666666666666667,0.3587786123521915,0.2170313326056879,1.832040329094936,1.3782450622635274,,,14.0,,,,,,,,,"0.009188,0.040674,0.093355,0.147111,0.177501,0.173392,0.141747,0.099125,0.060240,0.032198,0.015280,0.006486,0.002477,0.000855,0.000268,0.000076,0.000020,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Taylor Clarke,664199,AZ,PHI,0,22.36614853195164,4.480457446544621,0.2401544401544401,6,1,1.6666666666666663,0.2967396841854768,0.1673939507860065,3.480457446544621,16.36614853195164,,,5.0,,,,,,,,,"0.012249,0.051818,0.112696,0.167036,0.188387,0.171074,0.129346,0.083239,0.046321,0.022563,0.009715,0.003727,0.001283,0.000398,0.000112,0.000028,0.000007,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Tomoyuki Sugano,608372,COL,BAL,28,21.899721654439528,4.088773024110396,0.1696151103816609,26,4,6.0,0.2339247026366862,0.1239554449396716,0.0887730241103961,-4.100278345560472,,,18.0,,,,,,,,,"0.019358,0.071993,0.139511,0.186234,0.190713,0.158266,0.109969,0.065386,0.033792,0.015357,0.006191,0.002229,0.000720,0.000209,0.000055,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Andrew Painter,691725,PHI,AZ,18,21.811493308377653,3.970031704477868,0.2109978281853282,24,6,7.0,0.214540141921725,0.1103516609208111,-2.029968295522132,-2.1885066916223472,,,21.0,,,,,,,,,"0.021314,0.077822,0.147566,0.192285,0.191795,0.154677,0.104188,0.059900,0.029857,0.013057,0.005055,0.001745,0.000540,0.000150,0.000038,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Jacob Misiorowski,694819,MIL,CHC,28,22.694828688078672,8.060392875658733,0.3337526606974183,21,5,4.0,0.8151984978105861,0.6992050149348102,3.0603928756587333,1.6948286880786725,,,12.0,,,,,,,,,"0.000457,0.003199,0.011525,0.028554,0.054738,0.086328,0.115993,0.135575,0.139655,0.127909,0.104837,0.077275,0.051418,0.030974,0.016929,0.008408,0.003799,0.001562,0.000584,0.000198,0.000061,0.000017,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-02,Cam Schlittler,693645,NYY,LAA,33,22.84140313263057,7.91383461262093,0.2883087574936481,26,9,8.0,0.7982354448645531,0.6778032082852361,-1.0861653873790704,-3.158596867369429,,,24.0,,,,,,,,,"0.000581,0.003866,0.013383,0.032108,0.059860,0.091968,0.120432,0.137250,0.138033,0.123738,0.099631,0.072489,0.047885,0.028824,0.015853,0.007978,0.003676,0.001550,0.000596,0.000209,0.000066,0.000019,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
