window,tier,n_legs,n_graded,slip_p,legs_hit,hit,n_games,solo,correlated,legs,game_date
2,SAFE,3,3,0.4066391065724483,1.0,0.0,6,False,False,Pete Crow-Armstrong H+R+RBI 0.5 + Yordan Alvarez H+R+RBI 0.5 + George Springer H+R+RBI 0.5,2026-09-19
3,LOTTO,3,3,0.0026760519297827,1.0,0.0,5,False,False,Cal Raleigh HR + Luis García Jr. Hits 2.5 + Xavier Edwards Hits 2.5,2026-09-19
3,SAFE,3,3,0.3287928858868034,1.0,0.0,5,False,False,Joe Ryan Over 6.5 K + Luis García Jr. Hit + Mookie Betts H+R+RBI 0.5,2026-09-19
0,LOTTO,3,3,0.0025134549858217,0.0,0.0,1,True,True,Junior Caminero HR + Chandler Simpson Hits 2.5 + Yandy Díaz Hits 2.5,2026-09-22
0,MEDIUM,3,3,0.0345433569950549,0.0,0.0,1,True,True,Chandler Simpson Hits 1.5 + Yandy Díaz Hits 1.5 + Junior Caminero TB 2.5,2026-09-22
0,MIXED,3,3,0.0746210425595885,1.0,0.0,1,True,True,Chandler Simpson Hit + Yandy Díaz Hits 1.5 + Junior Caminero TB 2.5,2026-09-22
1,MEDIUM,3,3,0.0519141919687921,0.0,0.0,10,False,False,Kyle Schwarber HR + Pete Crow-Armstrong TB 3.5 + Juan Soto Walk,2026-09-22
1,MIXED,3,3,0.1215092069205994,1.0,0.0,10,False,False,Luis Arraez Hit + Pete Crow-Armstrong TB 3.5 + Juan Soto Walk,2026-09-22
1,SAFE,3,3,0.4230815867877942,3.0,1.0,10,False,False,Luis Arraez Hit + Pete Crow-Armstrong H+R+RBI 0.5 + Chandler Simpson Hit,2026-09-22
2,SAFE,3,3,0.4069305906447505,2.0,0.0,1,True,True,Corbin Carroll H+R+RBI 0.5 + Hunter Goodman H+R+RBI 0.5 + Ketel Marte H+R+RBI 0.5,2026-09-22
3,LOTTO,3,3,0.0077793415896531,1.0,0.0,4,False,False,Yordan Alvarez HR + Max Muncy HR + Shea Langeliers HR,2026-09-22
3,SAFE,3,3,0.400885090286783,3.0,1.0,4,False,False,Yordan Alvarez H+R+RBI 0.5 + Mookie Betts H+R+RBI 0.5 + Mike Trout H+R+RBI 0.5,2026-09-22
