game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,predicted_at_utc
823586,666624,Christopher Morel,NYM,SD,1,6,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,3.7020046704880487,2060,2521,0.12202885556362293,0.540342713044385,0.3356628250620406,0.7924972510672279,0.6110710313561967,0.40458358711704506,0.2514348708080588,0.1430337679331787,2026-08-18T22:18:22Z
823586,593428,Xander Bogaerts,SD,NYM,0,6,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.1386972647479565,2993,204,0.09183696335724252,0.6433721305189405,0.36022698770709227,0.5174180104542666,0.6695454821465444,0.4656419701607041,0.303815994967671,0.18272899352658262,2026-08-18T22:18:22Z
823586,543760,Marcus Semien,NYM,SD,1,7,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,3.9956177270966453,3504,2521,0.13365772751984983,0.5898135352567659,0.34738142365326086,0.5941249138179354,0.6603958953684446,0.45473286527223533,0.2934402489154629,0.1741051657138585,2026-08-18T22:18:22Z
823586,669720,Austin Hays,SD,NYM,0,7,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,3.8906738721358116,2102,204,0.10671248809441514,0.6419278224335018,0.23374181542316902,0.5748081904645197,0.6748711429513773,0.4705788927433566,0.30754920309632594,0.18516454234066393,2026-08-18T22:18:22Z
823586,805999,A.J. Ewing,NYM,SD,1,8,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,3.6501769590709285,379,2521,0.07612062807007021,0.572414519115252,0.30929557076139197,0.6930838751888724,0.6117275213688276,0.4047299738980626,0.2512302262272886,0.14266409527060647,2026-08-18T22:18:22Z
823586,666023,Freddy Fermin,SD,NYM,0,8,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,3.4664645743888136,1324,204,0.07744552511070456,0.5786292766034111,0.22577383512636295,0.4682216272555039,0.6024593808735437,0.39493742156180434,0.24290405010501562,0.13648211622494497,2026-08-18T22:18:22Z
823586,620443,Luis Torrens,NYM,SD,1,9,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,2.932881936638245,1008,2521,0.07915602986293918,0.49026094489709116,0.2589179914172807,0.5007926725765225,0.5475987198019024,0.33972219470453524,0.19716142067654407,0.10304483516477583,2026-08-18T22:18:22Z
823586,630105,Jake Cronenworth,SD,NYM,0,9,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,3.764564728709251,2970,204,0.06929870680993008,0.5585147589254318,0.33351102252552406,0.5406256205491017,0.6120894669597661,0.40577247682413203,0.25257414690739666,0.14400015666905797,2026-08-18T22:18:22Z
823667,807712,Luke Keaschall,MIN,ATL,1,1,confirmed,Tyler Mahle,Target Field,2026-08-18T23:40:00Z,4.251837851888173,752,1693,0.0953464082653381,0.6830717350949537,0.4325323850962524,0.48988154853933563,0.7102857183648794,0.51254640829699,0.34717388252002945,0.21783521743089249,2026-08-18T22:18:22Z
823667,686948,Drake Baldwin,ATL,MIN,0,1,confirmed,Zebby Matthews,Target Field,2026-08-18T23:40:00Z,4.457786432530394,1034,1001,0.17497732583013023,0.7166741431326443,0.38084320849042447,0.5885958790369594,0.7503256253899929,0.5618073552916864,0.3951485506318115,0.2585345068893462,2026-08-18T22:18:22Z
823667,663616,Trevor Larnach,MIN,ATL,1,2,confirmed,Tyler Mahle,Target Field,2026-08-18T23:40:00Z,4.029455589915596,1930,1693,0.12287596282888982,0.6116658679435494,0.3597529181795747,0.5950693094251998,0.6636088392059539,0.45997573585610557,0.2993670191086391,0.17966739704199902,2026-08-18T22:18:22Z
823667,660670,Ronald Acuña Jr.,ATL,MIN,0,2,confirmed,Zebby Matthews,Target Field,2026-08-18T23:40:00Z,4.667352520721002,2348,1001,0.1648338516429519,0.7084951313692015,0.41659480579991454,0.7158679935849253,0.7539193131212165,0.5658242901373598,0.39876225586035247,0.2613852210057096,2026-08-18T22:18:22Z
823667,680777,Ryan Jeffers,MIN,ATL,1,3,confirmed,Tyler Mahle,Target Field,2026-08-18T23:40:00Z,4.025349225490402,1976,1693,0.12191664643045211,0.6363094857354524,0.39413900621445025,0.5533739625852506,0.678700443868902,0.4756194468030025,0.31261244660334186,0.18952934770060303,2026-08-18T22:18:22Z
823667,621566,Matt Olson,ATL,MIN,0,3,confirmed,Zebby Matthews,Target Field,2026-08-18T23:40:00Z,4.503098883341711,3672,1001,0.2839186130010539,0.7006930547967799,0.4050237145621197,0.7406842238560579,0.7684705248232696,0.5837577241248839,0.4160615175953892,0.2758253968745408,2026-08-18T22:18:22Z
823667,605137,Josh Bell,MIN,ATL,1,4,confirmed,Tyler Mahle,Target Field,2026-08-18T23:40:00Z,4.086592032832415,3188,1693,0.12195514741401367,0.6144452667917326,0.35274224058420184,0.5936851380811479,0.6613626145059793,0.4566850777598205,0.29582561182424866,0.17644503340990836,2026-08-18T22:18:22Z
823667,671739,Michael Harris II,ATL,MIN,0,4,confirmed,Zebby Matthews,Target Field,2026-08-18T23:40:00Z,4.238010033979708,2828,1001,0.15289409088293032,0.7197795281195357,0.2267028938137469,0.5968498511653426,0.73920762568637,0.5460816744875132,0.3781610765795357,0.2428148498340683,2026-08-18T22:18:22Z
